,dues,win_rate
3,"JarvanIV, RekSai",100.0
4,"Olaf, AurelionSol",100.0
5,"Poppy, Skarner",100.0
6,"Shen, Skarner",100.0
7,"Zoe, AurelionSol",100.0
19,"AurelionSol, Neeko",80.0
20,"Ivern, Neeko",80.0
21,"Skarner, Cassiopeia",80.0
24,"Ivern, AurelionSol",75.0
25,"Ivern, Cassiopeia",75.0
26,"Ivern, Olaf",75.0
27,"Skarner, Seraphine",75.0
28,"Zoe, KogMaw",72.22222222222221
29,"Cassiopeia, Gragas",71.42857142857143
32,"Skarner, KogMaw",71.42857142857143
33,"Kled, Fizz",69.23076923076923
35,"AurelionSol, Trundle",66.66666666666666
36,"Cassiopeia, Ivern",66.66666666666666
38,"Gwen, Skarner",66.66666666666666
39,"KSante, Skarner",66.66666666666666
40,"Kennen, RekSai",66.66666666666666
42,"Zilean, Rell",66.66666666666666
44,"Kalista, Taric",63.1578947368421
45,"Belveth, Braum",62.5
46,"Lissandra, Rumble",62.5
47,"Neeko, Rell",62.5
48,"Ornn, Rell",61.53846153846154
49,"Yorick, Braum",61.53846153846154
50,"Skarner, Veigar",61.11111111111112
51,"Shyvana, Vex",60.526315789473685
52,"Braum, Karthus",60.0
53,"Evelynn, KogMaw",60.0
54,"Olaf, Elise",60.0
55,"Shaco, AurelionSol",60.0
56,"Skarner, Rakan",60.0
57,"Vi, Ivern",60.0
58,"XinZhao, KogMaw",60.0
59,"Cassiopeia, Kalista",59.09090909090909
60,"Skarner, Xayah",58.82352941176471
62,"Skarner, Tristana",57.89473684210527
63,"Kled, Khazix",57.692307692307686
64,"Anivia, Rell",57.14285714285714
65,"Diana, AurelionSol",57.14285714285714
66,"Illaoi, Bard",57.14285714285714
67,"Ivern, Shen",57.14285714285714
68,"Kennen, Ivern",57.14285714285714
69,"Kled, Alistar",57.14285714285714
70,"Lissandra, Braum",57.14285714285714
71,"Rell, Rumble",57.14285714285714
72,"Skarner, Janna",57.14285714285714
73,"Skarner, Kalista",57.14285714285714
74,"Olaf, Malzahar",56.66666666666666
75,"AurelionSol, Yuumi",56.25
76,"Aphelios, Kennen",55.55555555555556
77,"JarvanIV, Galio",55.55555555555556
79,"Rumble, Taliyah",55.55555555555556
81,"Zac, Nilah",55.55555555555556
82,"Camille, Kalista",55.00000000000001
83,"Kled, Ekko",54.54545454545454
84,"Kled, Maokai",54.54545454545454
85,"Skarner, Zeri",54.54545454545454
86,"Kayn, Rell",54.34782608695652
88,"Rengar, Kennen",53.333333333333336
89,"Sejuani, Braum",53.333333333333336
90,"Skarner, Sylas",53.333333333333336
91,"Elise, Janna",52.94117647058824
92,"Taliyah, Alistar",52.38095238095239
93,"Ornn, Ziggs",51.85185185185185
94,"Diana, Bard",51.11111111111111
95,"Gnar, Kaisa",50.48543689320388
96,"Aatrox, Skarner",50.0
97,"Akshan, Zac",50.0
98,"AurelionSol, Azir",50.0
99,"AurelionSol, Kalista",50.0
100,"AurelionSol, Kled",50.0
101,"AurelionSol, Rammus",50.0
102,"AurelionSol, Renata",50.0
103,"AurelionSol, XinZhao",50.0
104,"Azir, RekSai",50.0
106,"Belveth, Rell",50.0
107,"Belveth, Skarner",50.0
108,"Camille, Taliyah",50.0
109,"Cassiopeia, Skarner",50.0
110,"Cassiopeia, Ziggs",50.0
111,"Elise, Sona",50.0
112,"Fiora, Skarner",50.0
113,"Illaoi, Skarner",50.0
114,"Ivern, Gragas",50.0
115,"Ivern, Nidalee",50.0
116,"Ivern, Quinn",50.0
117,"Ivern, Rell",50.0
118,"Ivern, Renekton",50.0
119,"Ivern, Skarner",50.0
120,"Ivern, XinZhao",50.0
121,"KSante, AurelionSol",50.0
122,"KSante, Taliyah",50.0
123,"Kalista, Ivern",50.0
124,"Kassadin, Rakan",50.0
125,"Kassadin, Skarner",50.0
126,"Kayle, Skarner",50.0
127,"Kled, Cassiopeia",50.0
128,"Kled, Ivern",50.0
130,"Lissandra, Nunu",50.0
131,"Lulu, Ivern",50.0
133,"Olaf, Kayle",50.0
134,"Ornn, Cassiopeia",50.0
135,"Poppy, Ivern",50.0
136,"RekSai, Akshan",50.0
137,"RekSai, Elise",50.0
138,"RekSai, KogMaw",50.0
139,"Rell, Renekton",50.0
140,"Renekton, Taliyah",50.0
141,"Rumble, Kled",50.0
142,"Sejuani, Sona",50.0
143,"Shyvana, AurelionSol",50.0
144,"Singed, AurelionSol",50.0
145,"Sion, Kled",50.0
146,"Skarner, Anivia",50.0
147,"Skarner, Heimerdinger",50.0
148,"Skarner, Malzahar",50.0
149,"Skarner, Olaf",50.0
150,"Skarner, Syndra",50.0
151,"Skarner, Talon",50.0
152,"Skarner, Vex",50.0
153,"Skarner, Xerath",50.0
154,"Taliyah, Gragas",50.0
155,"Yorick, Annie",50.0
156,"Yorick, Rammus",50.0
157,"Zac, Orianna",50.0
158,"Zeri, Rell",50.0
159,"Zoe, Kled",50.0
160,"XinZhao, Xerath",49.15254237288136
161,"Rammus, Tristana",49.01960784313725
163,"Xayah, Rakan",48.63813229571984
164,"Elise, Viktor",48.48484848484848
165,"Renekton, Kassadin",48.48484848484848
166,"Skarner, Akali",48.38709677419355
167,"Taliyah, Draven",48.38709677419355
168,"Azir, Aphelios",48.27586206896552
169,"Gnar, Azir",48.14814814814815
170,"Belveth, Seraphine",48.03921568627451
171,"Evelynn, Zoe",48.0
172,"Fiora, Galio",47.82608695652174
173,"Lillia, Nilah",47.82608695652174
176,"Khazix, Viktor",47.61904761904761
177,"Kled, Soraka",47.61904761904761
178,"Kled, Xayah",47.61904761904761
179,"Shen, Gragas",47.61904761904761
181,"Yorick, Anivia",47.61904761904761
182,"Aatrox, Lissandra",47.45762711864407
183,"Azir, Sona",47.368421052631575
184,"Evelynn, Galio",47.368421052631575
185,"Singed, Lulu",47.368421052631575
186,"Skarner, Swain",47.368421052631575
187,"Rengar, Ziggs",47.22222222222222
188,"Zac, Alistar",47.22222222222222
189,"Galio, Xayah",47.16981132075472
190,"Shyvana, Xerath",47.16981132075472
191,"Viego, Rakan",47.14285714285714
192,"Samira, Alistar",47.096774193548384
193,"Lucian, Nami",47.069597069597066
194,"Karthus, Rengar",47.05882352941176
195,"Lissandra, Neeko",47.05882352941176
196,"RekSai, Karma",47.05882352941176
197,"Teemo, Skarner",47.05882352941176
198,"Camille, Ziggs",46.875
199,"TahmKench, Taric",46.66666666666666
200,"Tryndamere, Rell",46.66666666666666
201,"Kennen, Yuumi",46.42857142857143
202,"Camille, Zac",46.34146341463415
203,"Akshan, Karma",46.2962962962963
204,"Yorick, Seraphine",46.26865671641791
205,"Elise, Zyra",46.15384615384615
206,"Gangplank, Skarner",46.15384615384615
207,"Gwen, Kassadin",46.15384615384615
208,"Ivern, Leona",46.15384615384615
209,"JarvanIV, Taric",46.15384615384615
210,"Kalista, Bard",46.15384615384615
211,"Orianna, Nilah",46.15384615384615
212,"Rumble, Bard",46.15384615384615
213,"Rumble, Nilah",46.15384615384615
214,"Rumble, Rell",46.15384615384615
215,"Zeri, Braum",46.15384615384615
216,"Ashe, Rell",45.94594594594595
217,"Viego, Renata",45.94594594594595
218,"Yorick, Vi",45.94594594594595
219,"Tryndamere, Cassiopeia",45.83333333333333
220,"Karthus, Xayah",45.71428571428572
221,"Rammus, Azir",45.71428571428572
222,"Zac, Rakan",45.71428571428572
223,"Corki, Bard",45.45454545454545
226,"Ivern, Garen",45.45454545454545
227,"Ivern, Leblanc",45.45454545454545
228,"Jayce, Bard",45.45454545454545
229,"Rammus, Neeko",45.45454545454545
230,"Renekton, Elise",45.45454545454545
231,"Singed, Tryndamere",45.45454545454545
232,"Skarner, Vayne",45.45454545454545
233,"Skarner, Velkoz",45.45454545454545
234,"Taric, Lissandra",45.45454545454545
235,"XinZhao, TahmKench",45.45454545454545
236,"Yorick, Leona",45.45454545454545
237,"Yorick, Malzahar",45.23809523809524
