,championName,item,win_Rate
0,Sett,3179,100.0
1,Maokai,Dagger,100.0
2,Nilah,8001,100.0
3,Shen,Lich Bane,100.0
4,Malzahar,3400,100.0
5,Sona,6671,100.0
6,Fizz,Rylai's Crystal Scepter,100.0
7,Shen,Morellonomicon,100.0
8,Aatrox,Dead Man's Plate,100.0
9,Vayne,3400,100.0
10,Karma,7010,100.0
11,Tristana,Muramana,100.0
12,Volibear,6677,100.0
13,Maokai,Recurve Bow,100.0
14,Diana,3400,100.0
15,Quinn,3863,100.0
16,Tristana,Sterak's Gage,100.0
17,Gangplank,Wit's End,100.0
18,Chogath,Archangel's Staff,100.0
19,Janna,Glacial Shroud,100.0
20,Corki,Serrated Dirk,100.0
21,Nilah,6693,100.0
22,Sett,7016,100.0
23,Malzahar,Warmog's Armor,100.0
24,Braum,The Black Cleaver,100.0
25,Aphelios,3864,100.0
26,Alistar,Banshee's Veil,100.0
27,Viktor,Blade of the Ruined King,100.0
28,TahmKench,Mikael's Crucible,100.0
29,Rammus,Berserker's Greaves,100.0
30,Nocturne,3855,100.0
31,Xayah,Frozen Heart,100.0
32,Hecarim,2421,100.0
33,Yone,Crystalline Bracer,100.0
34,Diana,Dead Man's Plate,100.0
35,Ahri,3400,100.0
36,Galio,Long Sword,100.0
37,Poppy,Total Biscuit of Rejuvenation,100.0
38,Jinx,Ruby Crystal,100.0
39,Ezreal,1102,100.0
40,Teemo,7009,100.0
41,Swain,Mejai's Soulstealer,100.0
42,Olaf,Elixir of Iron,100.0
43,Volibear,Mejai's Soulstealer,100.0
44,Jinx,7002,100.0
45,Viktor,3513,100.0
46,Irelia,6653,100.0
47,KogMaw,4636,100.0
48,Maokai,3854,100.0
49,Alistar,7019,100.0
50,Vladimir,3850,100.0
51,Lissandra,Mejai's Soulstealer,100.0
52,Hecarim,Sorcerer's Shoes,100.0
53,Gnar,6667,100.0
54,Nami,Mejai's Soulstealer,100.0
55,Kled,Trinity Force,100.0
56,Seraphine,Ravenous Hydra,100.0
57,Shyvana,3161,100.0
58,XinZhao,Zeal,100.0
59,Diana,6670,100.0
60,Diana,Guardian Angel,100.0
61,Zyra,Archangel's Staff,100.0
62,Kayle,8001,100.0
63,Teemo,Guardian's Horn,100.0
64,Maokai,Forbidden Idol,100.0
65,Braum,Cull,100.0
66,Volibear,Cloak of Agility,100.0
67,Kindred,Hunter's Talisman,100.0
68,Nami,7013,100.0
69,Ekko,6664,100.0
70,Kennen,Ninja Tabi,100.0
71,MissFortune,3513,100.0
72,Ryze,6665,100.0
73,Kaisa,Overlord's Bloodmail,100.0
74,Volibear,6672,100.0
75,Rammus,Forbidden Idol,100.0
76,Elise,6694,100.0
77,Renata,Doran's Blade,100.0
78,Zeri,Guinsoo's Rageblade,100.0
79,Yorick,6695,100.0
80,Heimerdinger,3193,100.0
81,Shyvana,4635,100.0
82,Irelia,3121,100.0
83,Rell,7023,100.0
84,Malzahar,Rejuvenation Bead,100.0
85,Viego,3854,100.0
86,Shaco,Archangel's Staff,100.0
87,Nilah,Kindlegem,100.0
88,Rumble,Serrated Dirk,100.0
89,Taliyah,Boots of Swiftness,100.0
90,DrMundo,Glacial Shroud,100.0
91,Azir,7024,100.0
92,Viktor,4636,100.0
93,Rammus,3051,100.0
94,Syndra,Spectre's Cowl,100.0
95,Amumu,Nashor's Tooth,100.0
96,Ziggs,3850,100.0
97,Kayle,3513,100.0
98,Leblanc,3119,100.0
99,Irelia,Guardian's Orb,100.0
100,Gnar,The Bloodthirster,100.0
101,Lulu,7021,100.0
102,AurelionSol,4633,100.0
103,Fiora,3400,100.0
104,Akshan,4401,100.0
105,Jayce,3095,100.0
106,Gragas,Doran's Blade,100.0
107,Belveth,Glacial Shroud,100.0
108,Sett,3177,100.0
109,Renata,Archangel's Staff,100.0
110,Sivir,6333,100.0
111,Urgot,2423,100.0
112,Samira,3161,100.0
113,Samira,Phantom Dancer,100.0
114,Rammus,3855,100.0
115,Alistar,6693,100.0
116,TahmKench,The Black Cleaver,100.0
117,Syndra,1102,100.0
118,Kaisa,3513,100.0
119,Seraphine,3121,100.0
120,Pantheon,1102,100.0
121,MasterYi,Sanguine Blade,100.0
122,Bard,3855,100.0
123,Graves,6664,100.0
124,Janna,7014,100.0
125,Lucian,6662,100.0
126,Karthus,Boots of Swiftness,100.0
127,Teemo,3161,100.0
128,Quinn,2420,100.0
129,Leblanc,Sunfire Cape,100.0
130,Jayce,6675,100.0
131,Cassiopeia,Sunfire Cape,100.0
132,Graves,Guinsoo's Rageblade,100.0
133,Zoe,7014,100.0
134,Hecarim,6035,100.0
135,Thresh,4645,100.0
136,Kayle,The Black Cleaver,100.0
137,Poppy,Hexdrinker,100.0
138,Nasus,Last Whisper,100.0
139,Irelia,3400,100.0
140,Nasus,6675,100.0
141,Akali,7009,100.0
142,Corki,Youmuu's Ghostblade,100.0
143,Lillia,Guardian Angel,100.0
144,TwistedFate,Spectre's Cowl,100.0
145,Sion,Faerie Charm,100.0
146,Azir,8001,100.0
147,AurelionSol,The Bloodthirster,100.0
148,JarvanIV,4643,100.0
149,Khazix,Spirit Visage,100.0
150,Nilah,Rejuvenation Bead,100.0
151,Diana,Total Biscuit of Rejuvenation,100.0
152,Rumble,Nashor's Tooth,100.0
153,Brand,8020,100.0
154,Taric,3513,100.0
155,Fiora,Elixir of Wrath,100.0
156,Katarina,6656,100.0
157,Lucian,1101,100.0
158,Corki,3011,100.0
159,Graves,Rejuvenation Bead,100.0
160,Gwen,3851,100.0
161,MissFortune,4642,100.0
162,Fiora,Zeal,100.0
163,Renata,3076,100.0
164,Karma,6673,100.0
165,DrMundo,3400,100.0
166,Lissandra,Aether Wisp,100.0
167,Taric,Morellonomicon,100.0
168,Taliyah,7014,100.0
169,Leblanc,Executioner's Calling,100.0
170,Evelynn,Hunter's Talisman,100.0
171,Shen,4635,100.0
172,JarvanIV,6672,100.0
173,Sejuani,2421,100.0
174,Qiyana,3862,100.0
175,Skarner,The Dark Seal,100.0
176,AurelionSol,Zeal,100.0
177,Blitzcrank,6029,100.0
178,Braum,6655,100.0
179,Renata,Runaan's Hurricane,100.0
180,Lux,Pickaxe,100.0
181,Ashe,Lich Bane,100.0
182,Renekton,Faerie Charm,100.0
183,Malphite,Quicksilver Sash,100.0
184,Trundle,6631,100.0
185,Kaisa,2423,100.0
186,Lulu,Mejai's Soulstealer,100.0
187,Rammus,Sterak's Gage,100.0
188,Neeko,Lord Dominik's Regards,100.0
189,Karma,Recurve Bow,100.0
190,Sona,Essence Reaver,100.0
191,Darius,Mercurial Scimitar,100.0
192,Diana,3051,100.0
193,KogMaw,Mejai's Soulstealer,100.0
194,Karma,6660,100.0
195,MasterYi,6664,100.0
196,TwistedFate,Negatron Cloak,100.0
197,Tryndamere,3400,100.0
198,Xerath,8020,100.0
199,Anivia,Negatron Cloak,100.0
200,Leona,Forbidden Idol,100.0
201,Orianna,3851,100.0
202,Riven,2424,100.0
203,Sivir,6632,100.0
204,Varus,3400,100.0
205,Aphelios,3051,100.0
206,Aatrox,2424,100.0
207,Zoe,6672,100.0
208,Blitzcrank,6694,100.0
209,Veigar,Abyssal Scepter,100.0
210,Seraphine,Negatron Cloak,100.0
211,Nautilus,Trinity Force,100.0
212,Corki,3161,100.0
213,MonkeyKing,8001,100.0
214,Darius,7018,100.0
215,Illaoi,3513,100.0
216,Heimerdinger,3513,100.0
217,KogMaw,Sanguine Blade,100.0
218,XinZhao,6653,100.0
219,Senna,3066,100.0
220,Gwen,Mercurial Scimitar,100.0
221,Azir,6035,100.0
222,KogMaw,7009,100.0
223,Lux,Maw of Malmortius,100.0
224,Senna,The Dark Seal,100.0
225,AurelionSol,Infinity Edge,100.0
226,Rengar,4630,100.0
227,Sion,6692,100.0
228,Varus,3011,100.0
229,Sylas,3066,100.0
230,Kaisa,Mejai's Soulstealer,100.0
231,Fiora,Warmog's Armor,100.0
232,Tryndamere,Negatron Cloak,100.0
233,Lucian,Dead Man's Plate,100.0
234,Pantheon,Knight's Vow,100.0
235,AurelionSol,Dead Man's Plate,100.0
236,Swain,3400,100.0
237,Nunu,Elixir of Iron,100.0
238,Vayne,6675,100.0
239,Xayah,Kindlegem,100.0
240,Leblanc,Frozen Heart,100.0
241,Teemo,3119,100.0
242,Vayne,Dead Man's Plate,100.0
243,Taric,6694,100.0
244,Corki,Sanguine Blade,100.0
245,Karthus,Lich Bane,100.0
246,Kled,Frozen Heart,100.0
247,JarvanIV,4629,100.0
248,KogMaw,7007,100.0
249,Taliyah,Serrated Dirk,100.0
250,Pantheon,Mercurial Scimitar,100.0
251,Volibear,Cull,100.0
252,Teemo,6694,100.0
253,Cassiopeia,Warmog's Armor,100.0
254,Ezreal,3193,100.0
255,Yuumi,Zeke's Harbinger,100.0
256,Taric,3161,100.0
257,Nocturne,6675,100.0
258,Braum,Sorcerer's Shoes,100.0
259,Mordekaiser,Archangel's Staff,100.0
260,Graves,3193,100.0
261,MissFortune,Warden's Mail,100.0
262,Braum,4628,100.0
263,Braum,6632,100.0
264,Camille,3513,100.0
265,Akshan,6035,100.0
266,Lillia,Crystalline Bracer,100.0
267,AurelionSol,6672,100.0
268,Jhin,6035,100.0
269,Darius,2424,100.0
270,Ashe,6693,100.0
271,Vayne,3513,100.0
272,Amumu,Mejai's Soulstealer,100.0
273,Jhin,Warden's Mail,100.0
274,Gangplank,Randuin's Omen,100.0
275,Tryndamere,3513,100.0
276,KSante,3860,100.0
277,Caitlyn,3179,100.0
278,Udyr,3095,100.0
279,Taliyah,3860,100.0
280,Jax,7018,100.0
281,Nasus,4633,100.0
282,Nasus,Recurve Bow,100.0
283,Draven,Manamune,100.0
284,Nocturne,6653,100.0
285,Khazix,8001,100.0
286,Zoe,Elixir of Sorcery,100.0
287,Nami,Glacial Shroud,100.0
288,Annie,4633,100.0
289,Yone,Ionian Boots of Lucidity,100.0
290,Nidalee,4638,100.0
291,DrMundo,Nashor's Tooth,100.0
292,Talon,7000,100.0
293,Ezreal,Spirit Visage,100.0
294,Singed,Youmuu's Ghostblade,100.0
295,DrMundo,6696,100.0
296,Nami,Warden's Mail,100.0
297,Kindred,7008,100.0
298,Rammus,7003,100.0
299,Fiora,Edge of Night,100.0
300,Taric,The Bloodthirster,100.0
301,Malphite,Guinsoo's Rageblade,100.0
302,Azir,Frozen Heart,100.0
303,Lillia,Long Sword,100.0
304,Morgana,6617,100.0
305,Alistar,4643,100.0
306,Braum,3916,100.0
307,Singed,7009,100.0
308,Draven,Trinity Force,100.0
309,Gnar,6692,100.0
310,Poppy,7026,100.0
311,Tryndamere,6664,100.0
312,Bard,8020,100.0
313,Caitlyn,Nashor's Tooth,100.0
314,Riven,7026,100.0
315,Pyke,Rapid Firecannon,100.0
316,Rammus,Quicksilver Sash,100.0
317,Viktor,Dagger,100.0
318,Blitzcrank,7020,100.0
319,Viego,Glacial Shroud,100.0
320,Skarner,7003,100.0
321,RekSai,Dagger,100.0
322,Vi,Elixir of Iron,100.0
323,Gragas,2419,100.0
324,Veigar,3161,100.0
325,KSante,Sanguine Blade,100.0
326,Zeri,4401,100.0
327,Renekton,Trinity Force,100.0
328,Sona,Caulfield's Warhammer,100.0
329,Belveth,3862,100.0
330,Nami,Cull,100.0
331,Yuumi,Recurve Bow,100.0
332,Warwick,The Dark Seal,100.0
333,Shyvana,6667,100.0
334,Nami,Doran's Blade,100.0
335,Skarner,3513,100.0
336,Evelynn,3853,100.0
337,Kalista,Kircheis Shard,100.0
338,Urgot,6691,100.0
339,Tristana,Doran's Shield,100.0
340,Nocturne,3857,100.0
341,Quinn,Overlord's Bloodmail,100.0
342,Syndra,Lich Bane,100.0
343,Elise,Ravenous Hydra,100.0
344,Viego,The Dark Seal,100.0
345,Shaco,7007,100.0
346,Khazix,Frozen Heart,100.0
347,Ezreal,Guardian's Orb,100.0
348,Ezreal,4005,100.0
349,Darius,3119,100.0
350,AurelionSol,6676,100.0
351,DrMundo,Trinity Force,100.0
352,Zeri,7018,100.0
353,Taric,6691,100.0
354,Rell,Needlessly Large Rod,100.0
355,Lux,Infinity Edge,100.0
356,LeeSin,4638,100.0
357,Ryze,Doran's Shield,100.0
358,Twitch,4643,100.0
359,Pantheon,Phantom Dancer,100.0
360,MonkeyKing,6664,100.0
361,Tryndamere,3857,100.0
362,Garen,Guardian's Hammer,100.0
363,DrMundo,6691,100.0
364,Alistar,6657,100.0
365,Twitch,Kircheis Shard,100.0
366,MissFortune,Guardian's Horn,100.0
367,Singed,Aether Wisp,100.0
368,Jax,8020,100.0
369,Morgana,Aegis of the Legion,100.0
370,Belveth,6630,100.0
371,Trundle,6667,100.0
372,Fiora,6675,100.0
373,TahmKench,3400,100.0
374,Zoe,Infinity Edge,100.0
375,Lillia,Sterak's Gage,100.0
376,Soraka,3193,100.0
377,Rammus,2424,100.0
378,Karma,Long Sword,100.0
379,Zyra,Warden's Mail,100.0
380,Lux,4638,100.0
381,Blitzcrank,Sanguine Blade,100.0
382,Varus,3513,100.0
383,Braum,Archangel's Staff,100.0
384,Camille,3193,100.0
385,Quinn,3400,100.0
386,Morgana,3859,100.0
387,Sylas,Ravenous Hydra,100.0
388,Ezreal,Sterak's Gage,100.0
389,Jayce,Guardian's Hammer,100.0
390,Quinn,2423,100.0
391,Volibear,7005,100.0
392,Shen,3051,100.0
393,Malzahar,Frozen Heart,100.0
394,Graves,Glacial Shroud,100.0
395,Lux,3400,100.0
396,Kled,Infinity Edge,100.0
397,Gwen,Glacial Shroud,100.0
398,Khazix,Warmog's Armor,100.0
399,Chogath,7026,100.0
400,Ivern,3513,100.0
401,Irelia,6696,100.0
402,Lissandra,Elixir of Sorcery,100.0
403,Riven,3400,100.0
404,MasterYi,3193,100.0
405,Akali,Aegis of the Legion,100.0
406,Garen,6677,100.0
407,Rell,Pickaxe,100.0
408,Maokai,4632,100.0
409,Yone,Elixir of Wrath,100.0
410,Blitzcrank,Sterak's Gage,100.0
411,Maokai,Elixir of Iron,100.0
412,Lillia,7013,100.0
413,Karthus,Null-Magic Mantle,100.0
414,Alistar,3179,100.0
415,Talon,6667,100.0
416,Singed,2421,100.0
417,MonkeyKing,4644,100.0
418,Gnar,3161,100.0
419,Viktor,Cull,100.0
420,TahmKench,Last Whisper,100.0
421,Annie,7012,100.0
422,Ahri,Ravenous Hydra,100.0
423,Akali,3513,100.0
424,MissFortune,Glacial Shroud,100.0
425,MissFortune,Elixir of Iron,100.0
426,Zilean,2403,100.0
427,Anivia,3803,100.0
428,Malphite,6671,100.0
429,Kayn,Guardian's Hammer,100.0
430,Bard,Essence Reaver,100.0
431,Quinn,Muramana,100.0
432,Yorick,1102,100.0
433,Ahri,Muramana,100.0
434,Rell,Phage,100.0
435,Kled,The Bloodthirster,100.0
436,Draven,3177,100.0
437,Taric,Infinity Edge,100.0
438,Twitch,Overlord's Bloodmail,100.0
439,Rengar,4629,100.0
440,Jhin,3177,100.0
441,Aphelios,2421,100.0
442,Vex,6665,100.0
443,Tryndamere,2419,100.0
444,Shaco,Crystalline Bracer,100.0
445,Neeko,6694,100.0
446,Heimerdinger,Quicksilver Sash,100.0
447,Brand,Recurve Bow,100.0
448,Velkoz,3400,100.0
449,FiddleSticks,Abyssal Scepter,100.0
450,Lucian,Warmog's Armor,100.0
451,Rell,Sterak's Gage,100.0
452,KSante,6695,100.0
453,Corki,Glacial Shroud,100.0
454,Trundle,Serrated Dirk,100.0
455,Sivir,Faerie Charm,100.0
456,Qiyana,Berserker's Greaves,100.0
457,Kayle,3011,100.0
458,Heimerdinger,Recurve Bow,100.0
459,Vex,Chain Vest,100.0
460,Shen,Needlessly Large Rod,100.0
461,Varus,2419,100.0
462,Nocturne,4629,100.0
463,Corki,6662,100.0
464,Gnar,Rapid Firecannon,100.0
465,Yuumi,7013,100.0
466,MissFortune,3803,100.0
467,Twitch,4632,100.0
468,Azir,3066,100.0
469,Xayah,6693,100.0
470,Fizz,3513,100.0
471,Shyvana,6693,100.0
472,MasterYi,6656,100.0
473,Ezreal,3121,100.0
474,Kayle,6333,100.0
475,Udyr,3855,100.0
476,Zyra,Forbidden Idol,100.0
477,Shen,6657,100.0
478,Ekko,2403,100.0
479,Zilean,3076,100.0
480,Morgana,Guardian Angel,100.0
481,Twitch,3860,100.0
482,Nocturne,4643,100.0
483,Tristana,3177,100.0
484,Senna,6667,100.0
485,Graves,Redemption,100.0
486,KSante,Sterak's Gage,100.0
487,Zed,3855,100.0
488,Vex,Recurve Bow,100.0
489,Ivern,Runaan's Hurricane,100.0
490,Neeko,7014,100.0
491,Nocturne,2424,100.0
492,Shaco,Quicksilver Sash,100.0
493,Talon,Randuin's Omen,100.0
494,Twitch,Spirit Visage,100.0
495,Talon,3193,100.0
496,Viego,Aether Wisp,100.0
497,Pantheon,Faerie Charm,100.0
498,Malphite,Knight's Vow,100.0
499,Nasus,7017,100.0
500,Ryze,Tiamat,100.0
501,Anivia,Nashor's Tooth,100.0
502,Shaco,6665,100.0
503,Fizz,Elixir of Sorcery,100.0
504,Nautilus,Guardian Angel,100.0
505,Jinx,Titanic Hydra,100.0
506,XinZhao,Rabadon's Deathcap,100.0
