championName,region,win_Rate
Ahri,EUW1,100.0
Annie,EUW1,100.0
Ashe,EUW1,100.0
Azir,EUW1,100.0
Blitzcrank,EUW1,100.0
Corki,EUW1,100.0
Ekko,EUW1,100.0
FiddleSticks,EUW1,100.0
Fiora,EUW1,100.0
Garen,EUW1,100.0
Illaoi,EUW1,100.0
Irelia,EUW1,100.0
JarvanIV,EUW1,100.0
Jhin,EUW1,100.0
Katarina,EUW1,100.0
Lillia,EUW1,100.0
Lux,EUW1,100.0
Mordekaiser,EUW1,100.0
Nautilus,EUW1,100.0
Nidalee,EUW1,100.0
Olaf,EUW1,100.0
Rakan,EUW1,100.0
Rengar,EUW1,100.0
Riven,EUW1,100.0
Sion,EUW1,100.0
Taric,EUW1,100.0
Teemo,EUW1,100.0
Thresh,EUW1,100.0
Twitch,EUW1,100.0
Veigar,EUW1,100.0
Warwick,EUW1,100.0
Zac,EUW1,100.0
Zilean,EUW1,100.0
Darius,EUW1,66.66666666666666
Kaisa,EUW1,66.66666666666666
Shaco,EUW1,66.66666666666666
Ziggs,EUW1,66.66666666666666
Skarner,LA2,65.625
Skarner,LA1,62.96296296296296
Yorick,KR,62.903225806451616
Skarner,KR,60.65573770491803
Yasuo,EUW1,60.0
Rumble,NA1,59.23076923076923
AurelionSol,LA2,58.97435897435898
Skarner,TR1,58.82352941176471
TahmKench,KR,58.723404255319146
Nilah,LA1,58.288770053475936
Irelia,LA1,57.45614035087719
Nilah,NA1,57.27272727272727
Fizz,LA2,57.2463768115942
Rumble,TR1,57.22891566265061
Sejuani,NA1,57.20164609053497
Taliyah,NA1,57.14285714285714
Rell,TR1,57.14285714285714
Ornn,TR1,57.077625570776256
Azir,TR1,57.05521472392638
Lillia,OC1,56.9377990430622
Nami,TR1,56.92307692307692
Swain,NA1,56.9023569023569
Renata,LA1,56.613756613756614
Shyvana,OC1,56.59163987138264
Amumu,KR,56.473489519112206
Warwick,LA2,56.424581005586596
Belveth,TR1,56.41025641025641
MonkeyKing,TR1,56.395348837209305
Maokai,NA1,56.317689530685925
Renata,OC1,56.213017751479285
Brand,LA1,56.06694560669456
Janna,KR,56.05381165919282
Rengar,KR,55.96707818930041
Heimerdinger,LA2,55.94405594405595
Sivir,LA1,55.91054313099042
Vi,NA1,55.87301587301587
Lillia,NA1,55.86206896551724
Malzahar,LA1,55.79937304075236
Belveth,LA2,55.70469798657718
Kled,LA2,55.64516129032258
Bard,TR1,55.639097744360896
Yorick,NA1,55.5984555984556
Malzahar,TR1,55.59322033898305
Amumu,NA1,55.55555555555556
Sett,NA1,55.533980582524265
KogMaw,OC1,55.51020408163265
Brand,KR,55.50935550935551
Taric,TR1,55.483870967741936
Taric,KR,55.46875
Rell,NA1,55.434782608695656
Mordekaiser,LA2,55.288985823336965
Zyra,OC1,55.26315789473685
Lissandra,OC1,55.23809523809524
Neeko,TR1,55.203619909502265
Olaf,KR,55.188679245283026
Singed,KR,55.13307984790875
Viktor,TR1,55.118110236220474
Veigar,OC1,55.08586525759577
Renata,TR1,55.0561797752809
Kayle,KR,55.00000000000001
Maokai,OC1,55.00000000000001
Renata,KR,54.91803278688525
Nocturne,LA1,54.91071428571429
Garen,OC1,54.86322188449848
MonkeyKing,NA1,54.861111111111114
Illaoi,TR1,54.848484848484844
MonkeyKing,LA2,54.83870967741935
Yorick,OC1,54.83870967741935
Ziggs,TR1,54.83870967741935
AurelionSol,LA1,54.761904761904766
Talon,LA2,54.75113122171946
Sona,NA1,54.75
Sett,KR,54.655870445344135
FiddleSticks,LA1,54.63917525773196
Soraka,NA1,54.629629629629626
Rakan,LA2,54.62555066079295
Viktor,OC1,54.6242774566474
Elise,KR,54.61538461538461
DrMundo,LA2,54.56431535269709
Belveth,KR,54.54545454545454
Urgot,KR,54.43037974683544
Yorick,LA1,54.424778761061944
Quinn,NA1,54.41176470588235
Taric,LA2,54.385964912280706
AurelionSol,NA1,54.32098765432099
Karthus,OC1,54.31654676258992
Khazix,KR,54.26136363636363
Shyvana,KR,54.25531914893617
Diana,LA1,54.25101214574899
Rammus,TR1,54.23728813559322
Rammus,LA2,54.22740524781341
Nami,LA2,54.21686746987952
Sett,LA1,54.21511627906976
Karthus,LA2,54.18994413407822
Nautilus,LA1,54.187192118226605
Cassiopeia,KR,54.166666666666664
Singed,TR1,54.088050314465406
XinZhao,KR,54.054054054054056
Ziggs,KR,54.0453074433657
Hecarim,OC1,54.01459854014598
Teemo,LA2,53.99361022364217
Vi,KR,53.963414634146346
Diana,KR,53.93442622950819
Malphite,LA1,53.888888888888886
Taliyah,KR,53.84615384615385
Swain,OC1,53.84615384615385
Janna,OC1,53.81944444444444
FiddleSticks,NA1,53.79746835443038
Khazix,OC1,53.73831775700935
Neeko,LA1,53.73134328358209
Sivir,KR,53.72848948374761
FiddleSticks,KR,53.71900826446281
Renata,NA1,53.7117903930131
Akshan,NA1,53.70370370370371
Fiora,LA2,53.67088607594936
Warwick,KR,53.64741641337386
Seraphine,NA1,53.64372469635627
Belveth,OC1,53.61010830324909
Evelynn,LA2,53.591160220994475
Samira,OC1,53.54058721934369
Rumble,LA1,53.50877192982456
Corki,OC1,53.48837209302325
DrMundo,OC1,53.47985347985348
Sion,LA1,53.47222222222222
Annie,KR,53.459119496855344
Karthus,LA1,53.459119496855344
Diana,TR1,53.39308578745199
Fizz,OC1,53.38983050847458
Zyra,LA1,53.38645418326693
Karma,LA1,53.37423312883436
Vex,LA2,53.36658354114713
Janna,LA2,53.36134453781513
Seraphine,LA1,53.333333333333336
Teemo,LA1,53.333333333333336
Yorick,TR1,53.333333333333336
Swain,TR1,53.317249698431844
Seraphine,OC1,53.30578512396694
Swain,KR,53.289473684210535
Ornn,OC1,53.28719723183391
Varus,OC1,53.273809523809526
DrMundo,NA1,53.24947589098532
Amumu,LA1,53.246753246753244
XinZhao,OC1,53.246753246753244
Viktor,LA1,53.23741007194245
Viego,NA1,53.229974160206716
Chogath,KR,53.214285714285715
Brand,NA1,53.19548872180451
Mordekaiser,OC1,53.19444444444444
Aphelios,KR,53.18559556786704
Seraphine,LA2,53.14861460957179
Urgot,TR1,53.13807531380753
Khazix,LA2,53.13653136531366
Morgana,NA1,53.12084993359893
Galio,LA1,53.10734463276836
Darius,NA1,53.06799336650083
Jax,LA2,53.04878048780488
Lux,LA2,53.037884203002136
Volibear,OC1,53.015427769985976
Rell,KR,53.01204819277109
Evelynn,NA1,53.01204819277109
Sion,TR1,53.00546448087432
Maokai,KR,52.994555353901994
DrMundo,KR,52.991452991452995
Leona,KR,52.988691437802906
Olaf,OC1,52.96803652968036
Trundle,KR,52.95857988165681
Nasus,TR1,52.951096121416526
TahmKench,OC1,52.94117647058824
Maokai,LA1,52.92096219931272
Kayle,OC1,52.92096219931272
Shen,OC1,52.88135593220339
